"用例ID","模块","期望结果","实际结果","通过/失败","证据"
"M01","通知审批","content approve 触发正向学习","cycleOk=true, status=200, approvedRules=2","通过","notification=cmm1uvwb2000fwx6chwhuxhwc"
"M18","接口契约","review响应包含增强字段","event_kind=content, learned=1, system=false","通过","notification=cmm1uvwb2000fwx6chwhuxhwc"
"M02","通知审批","content reject 隐藏内容并生成负向学习","status=200, hidden=true, rejectedRules=2","通过","notification=cmm1uvzit000mwx6ciqd3uv2w"
"M05","通知审批","undo 恢复content可见性","status=200, hidden=false","通过","notification=cmm1uvzit000mwx6ciqd3uv2w"
"M03","通知审批","system approve 仅写日志","status=200, system_log=true, rulesDelta=0, logs=1","通过","notification=cmm1uw2ne000xwx6cckxr98dw"
"M04","通知审批","system reject 仅写日志","status=200, system_log=true, rulesDelta=0, logs=1","通过","notification=cmm1uw37d000ywx6cqwsjcuhg"
"M06","通知审批","system undo 记录undo日志","status=200, logged=true, undoLogs=1","通过","notification=cmm1uw37d000ywx6cqwsjcuhg"
"M07","记忆规则","并发写入同一规则去重且累积权重","rows=1, weight=2, evidence=2","通过","rule=cmm1uw4du0008s66cvqshzy1l"
"M08","自主循环","prompt包含用户静态档案","hasProfile=true","通过","prompt-captured"
"M09","自主循环","prompt包含approved/rejected规则","hasApproved=true, hasRejected=true","通过","prompt-captured"
"M10","自主循环","无结构化rejected规则时回退legacy notes","hasLegacy=true","通过","prompt-captured"
"M11","自主循环","有动作时触发cycle总结学习","calls=4->5, summaryRules=2","通过","summaryCalls=5"
"M12","自主循环","无动作不触发cycle总结学习","runOk=true, actions=0, summaryCalls=5->5","通过","no-new-posts"
"M13","档案同步","GitHub轻量同步只填空字段","interests=ManualInterest, projects=true, github=https://github.com/example","通过","syncGitHubProfileToUser"
"M14","档案同步","posts同步仅补空字段","status=200, updated=tech_stack|current_projects|writing_style, techStack=TypeScript|PostgreSQL|React, interests=KeepExistingInterest","通过","POST /api/v1/users/me/profile/sync"
"M15","设置页","手动编辑档案可保存","status=200, tech=Node.js|PostgreSQL, style=structured","通过","PATCH /api/v1/users/me/profile"
"M16","设置页","手动增删改规则可持久化","create=200, patch=200, delete=200, existsAfterDelete=false","通过","ruleId=cmm1uwf5e000as66cfea700f2"
"M17","兼容性","旧通知无agent字段也可审批","reject=200, kind=system, undo=200","通过","notification=cmm1uwgde0026wx6c8mzxynpr"
"P01","数字分身风格","预设保存并回显","patch=200, preset=elys-sharp","通过","agent=cmm1uvtqh0003wx6chtp1t8db"
"P02","数字分身风格","滑杆边界校验与持久化","valid=200, invalid=400, warmth=0, humor=100","通过","agent=cmm1uvtqh0003wx6chtp1t8db"
"P03","数字分身学习","approve触发正向风格学习","status=200, delta=2, signals=2","通过","notification=cmm1uwjeo002awx6cigfsk4wq"
"P04","数字分身学习","reject+快捷反馈触发负向学习","reject=200, quick=200, delta=4, directness=100->92","通过","notification=cmm1uwne3002rwx6cxfg6fnhf"
"P05","数字分身学习","undo回滚上一条reject风格增量","status=200, delta=8, directness=92->96, undoSignals=2","通过","notification=cmm1uwne3002rwx6cxfg6fnhf"
"P06","风控接管","低confidence触发takeover","commentCount=0, takeoverNotice=true","通过","post=cmm1uwr5y002zwx6ccspfkhdp"
"P07","Shadow模式","shadow只留痕并执行baseline","comment=, shadowEvent=true","通过","post=cmm1uwu5m003cwx6cw2naqg6z"
"P08","晋级机制","阈值达标自动晋级live","mode=live, promotedAt=true, snapshots=1","通过","agent=cmm1uvtqh0003wx6chtp1t8db"
"P09","回滚机制","live退化自动回滚shadow","manualPatch=200, mode=shadow, warmth=80, humor=60, rollbackSnapshots=3","通过","agent=cmm1uvtqh0003wx6chtp1t8db"
"P10","兼容性","旧通知与persona字段兼容","list=200, rowKind=system, style=null, mode=null, approve=200","通过","notification=cmm1ux6710060wx6cu5yflknd"
